team,division
San Francisco 49ers,NFC West
Chicago Bears,NFC North
Cincinnati Bengals,AFC North
Buffalo Bills,AFC East
Denver Broncos,AFC West
Cleveland Browns,AFC North
Tampa Bay Buccaneers,NFC South
Arizona Cardinals,NFC West
San Diego Chargers,AFC West
Kansas City Chiefs,AFC West
Indianapolis Colts,AFC South
Dallas Cowboys,NFC East
Miami Dolphins,AFC East
Philadelphia Eagles,NFC East
Atlanta Falcons,NFC South
New York Giants,NFC East
Jacksonville Jaguars,AFC South
New York Jets,AFC East
Detroit Lions,NFC North
Green Bay Packers,NFC North
Carolina Panthers,NFC South
New England Patriots,AFC East
Oakland Raiders,AFC West
St.Louis Rams,NFC West
Baltimore Ravens,AFC North
Washington Redskins,NFC East
New Orlean Saints,NFC South
Seattle Seahawks,NFC West
Pittsburgh Steelers,AFC North
Houston Texans,AFC South
Tennessee Titans,AFC South
Minnesota Vikings,NFC North
